date	freq(Hz)
20070101_2	0.1093081697394764
20070101	0.0776665261996338
20070102	0.086346323750477
20070105_2	0.1078808126770422
20070105_2	0.0459089494946833
20070105	nan
20070106_2	0.0646124333026954
20070106	0.0897483401770689
20070107	0.1037096025620477
20070108_2	0.105081770883604
20070108	nan
20070109	nan
20070110_2	0.0862782218579638
20070110	nan
20070111_2	0.0945932349518168
20070111	nan
20070112	0.0776665261996338
20070113	0.0293637358362757
20070114_2	nan
20070114	0.0885763973341981
20070115	nan
20070116	nan
20070117_2	nan
20070117	nan
20070118_2	0.0776665261996338
20070118	0.0862782218579638
20070120_2	0.1122197892610386
20070120_2	0.0727263539272112
20070120	0.0797353136872821
20070121	nan
20070122	0.0983977838912942
20070123_2	0.0646124333026954
20070123	0.0971128957434104
20070124	0.078694121950304
20070125_2	0.106472094186533
20070125_2	0.0523578116675942
20070125	0.0909357888439323
20070126_2	0.1078808126770422
20070126	0.106472094186533
20070127_2	0.1078808126770422
20070127	0.1037096025620477
20070128_2	0.0933580269862203
20070128	0.0717766858909564
20070129_2	0.0862782218579638
20070129	0.1037096025620477
20070130_2	0.0746635510491756
20070130	nan
20070131_2	0.0736885868982758
20070131	nan
20070201_2	nan
20070201	0.1023553521522934
20070202	0.0909357888439323
20070203_2	0.105081770883604
20070203	nan
20070204	0.0672111515379269
20070205	0.0559143849794346
20070207_2	0.1078808126770422
20070207_2	0.059712550010249
20070207	0.0746635510491756
20070208_2	0.0996996722278751
20070208	0.1021422642455618
20070208	0.0615278542639626
20070209_2	0.1122197892610386
20070209	0.1078808126770422
20070210_2	0.095844785794052
20070210	0.1023553521522934
20070211_2	0.095844785794052
20070211	0.0996996722278751
20070212_2	0.0909357888439323
20070212	0.1122197892610386
20070213_2	0.0807902812973025
20070213	0.0971128957434104
20070213	0.0613031010798211
20070214_2	0.0756514148245023
20070214	0.0971128957434104
20070215_2	0.0746635510491756
20070215	0.0829422756151872
20070215	0.0574037650983249
20070216_2	0.1037096025620477
20070216	0.1037096025620477
20070218_2	0.106472094186533
20070218	0.0874197578387123
20070219_2	0.0874197578387123
20070219	0.0807902812973025
20070220	0.1093081697394764
20070221_2	nan
20070221	nan
20070222_2	0.0708394187153303
20070222	nan
20070223	nan
20070224_2	0.1122197892610386
20070224_2	0.0717766858909564
20070224	0.0637687176571452
20070225	0.0717766858909564
20070226_2	0.0971128957434104
20070226	0.095844785794052
20070227	0.0885763973341981
20070228_2	nan
20070228	0.1078808126770422
20070301_2	0.078694121950304
20070301	0.1093081697394764
20070302_2	nan
20070302	0.0162529693751972
20070303_2	0.0330511843602867
20070303	0.1010187856804485
20070304_2	0.0945932349518168
20070304	0.0766523488975163
20070305	0.1037096025620477
20070306	0.106472094186533
20070307	0.1093081697394764
20070309	0.0717766858909564
20070310_2	nan
20070310	0.1023553521522934
20070311_2	nan
20070311	nan
20070312	0.0996996722278751
20070313	nan
20070314	nan
20070315	0.0897483401770689
20070316	0.1037096025620477
20070317	0.0971128957434104
20070318_2	0.0909357888439323
20070318	0.0807902812973025
20070319	nan
20070320	nan
20070321	nan
20070322_2	nan
20070322	0.1078808126770422
20070323_2	nan
20070323	0.0128286595681377
20070324	nan
20070325	0.0851515921687398
20070326_2	0.0613031010798211
20070326	0.105081770883604
20070328_2	0.1167332798974349
20070328	0.105081770883604
20070329_2	0.0971128957434104
20070329	nan
20070330_2	nan
20070330	nan
20070331_2	0.0637687176571452
20070331	0.0278597782816713
20070401	0.1093081697394764
20070402_2	0.0756514148245023
20070402	nan
20070403_2	0.0376939072920246
20070403	0.106472094186533
20070403	0.058932817533013
20070404_2	0.1093081697394764
20070404	0.0646124333026954
20070405	0.1093081697394764
20070406_2	nan
20070406	0.1037096025620477
20070407	0.0818592070471573
20070413_2	0.1107544119783671
20070413	nan
20070415	nan
20070416_2	0.113704554760777
20070416	nan
20070417_2	0.0629360193352609
20070417	0.1023553521522934
20070418	nan
