date,freq(Hz)
20070101_2,0.0287682167138779
20070101,0.0207110736532356
20070102,0.0224105797661834
20070105_2,0.0283925584497421
20070105_2,0.0120825242186133
20070105,0.0233119354236566
20070106_2,0.0172299822140521
20070106_2,0.0083622299592791
20070106,0.024895473862992
20070107,0.028021805568961
20070107,0.0135998272738061
20070107,0.0066877354160637
20070108_2,0.028021805568961
20070108,
20070109,
20070110_2,0.0242495436917152
20070110,0.0230075258287903
20070111_2,0.0255586095450805
20070111,0.0188905116574214
20070112,0.021544075012614
20070113,0.0077280803262957
20070114_2,
20070114,0.0236203726224528
20070115,
20070116,0.0023676333286453
20070117_2,
20070117,0.0262394090376784
20070117,0.0085849729806951
20070118_2,0.0207110736532356
20070118,0.0227070912449972
20070120_2,0.0295345098608979
20070120_2,0.0188905116574214
20070120,0.020440626372671
20070121,0.0299252771362769
20070122,0.0258967721982427
20070122,0.0043341251667192
20070123_2,0.0170049913752387
20070123_2,0.0079339316327065
20070123_2,0.0046897741465088
20070123,0.0269383428481196
20070123,0.0060202118996265
20070124,0.0207110736532356
20070124,0.006776219977321
20070125_2,0.027655894016546
20070125_2,0.0134222393629169
20070125,0.0230075258287903
20070125,0.0085849729806951
20070126_2,0.0272947605739449
20070126,0.0283925584497421
20070127_2,0.0291488452638603
20070127_2,0.0043341251667192
20070127_2,0.0028836373492568
20070127,0.028021805568961
20070128_2,0.0230075258287903
20070128,0.0193936943805896
20070129_2,0.0230075258287903
20070129_2,0.009048416545818
20070129,0.027655894016546
20070130_2,0.0201737106198672
20070130_2,0.0025619162220684
20070130,0.0299252771362769
20070130,0.0053485499936107
20070131_2,0.0199102802797801
20070131,
20070201_2,
20070201,0.0272947605739449
20070202,0.0242495436917152
20070203_2,0.028021805568961
20070203,
20070204,0.0184003843556662
20070204,0.0069567167728981
20070205,0.0149105026611825
20070205,0.0026301574642607
20070207_2,0.0287682167138779
20070207_2,0.0159233466693997
20070207_2,0.0047518239409359
20070207,0.0201737106198672
20070208_2,0.0262394090376784
20070208_2,0.0083622299592791
20070208_2,0.00252846246265
20070208,0.0283925584497421
20070208,0.0069567167728981
20070209_2,0.0291488452638603
20070209,0.0295345098608979
20070210_2,0.0255586095450805
20070210,0.0272947605739449
20070211_2,0.0265865792607667
20070211,0.0046897741465088
